x-axis,1,2,3,4
second,Ampere,Volt,Volt,Volt
-25.70000E-03,+416.74995E-03,+7.75000000E+00,+14.43750000E+00,-12.62500000E+00
-25.65000E-03,+479.24995E-03,-375.00000E-03,-3.68750000E+00,-3.25000000E+00
-25.60000E-03,+572.99995E-03,-375.00000E-03,-4.00000000E+00,-3.25000000E+00
-25.55000E-03,+729.24995E-03,-375.00000E-03,-4.00000000E+00,-2.62500000E+00
-25.50000E-03,+697.99995E-03,+6.81250000E+00,+14.75000000E+00,-12.00000000E+00
-25.45000E-03,+354.24995E-03,+5.87500000E+00,+14.43750000E+00,-11.37500000E+00
-25.40000E-03,+479.24995E-03,-687.50000E-03,-2.12500000E+00,-3.87500000E+00
-25.35000E-03,+604.24995E-03,-1.00000000E+00,-4.00000000E+00,-3.25000000E+00
-25.30000E-03,+697.99995E-03,-1.31250000E+00,-3.68750000E+00,-2.62500000E+00
-25.25000E-03,+510.49995E-03,+6.18750000E+00,+14.75000000E+00,-12.00000000E+00
-25.20000E-03,+354.24995E-03,+3.37500000E+00,+15.68750000E+00,-10.75000000E+00
-25.15000E-03,+479.24995E-03,-1.31250000E+00,-3.68750000E+00,-3.25000000E+00
-25.10000E-03,+604.24995E-03,-1.31250000E+00,-3.68750000E+00,-3.25000000E+00
-25.05000E-03,+697.99995E-03,-62.50000E-03,-4.00000000E+00,-3.87500000E+00
-25.00000E-03,+416.74995E-03,+5.25000000E+00,+14.75000000E+00,-12.00000000E+00
-24.95000E-03,+354.24995E-03,+562.50000E-03,+2.25000000E+00,-5.75000000E+00
-24.90000E-03,+479.24995E-03,-1.62500000E+00,-3.37500000E+00,-3.25000000E+00
-24.85000E-03,+604.24995E-03,-1.62500000E+00,-3.37500000E+00,-2.62500000E+00
-24.80000E-03,+666.74995E-03,+6.18750000E+00,+6.62500000E+00,-9.50000000E+00
-24.75000E-03,+322.99995E-03,+4.62500000E+00,+15.06250000E+00,-12.00000000E+00
-24.70000E-03,+385.49995E-03,-62.50000E-03,+2.56250000E+00,-5.75000000E+00
-24.65000E-03,+479.24995E-03,-2.25000000E+00,-3.06250000E+00,-3.25000000E+00
-24.60000E-03,+604.24995E-03,-2.56250000E+00,-3.37500000E+00,-2.62500000E+00
-24.55000E-03,+510.49995E-03,+3.68750000E+00,+15.06250000E+00,-12.00000000E+00
-24.50000E-03,+291.74995E-03,+4.62500000E+00,+14.75000000E+00,-12.00000000E+00
-24.45000E-03,+385.49995E-03,-62.50000E-03,+2.87500000E+00,-6.37500000E+00
-24.40000E-03,+479.24995E-03,-2.56250000E+00,-3.37500000E+00,-2.62500000E+00
-24.35000E-03,+635.49995E-03,-2.56250000E+00,-3.37500000E+00,-4.50000000E+00
-24.30000E-03,+416.74995E-03,+3.37500000E+00,+15.68750000E+00,-11.37500000E+00
-24.25000E-03,+322.99995E-03,-375.00000E-03,+3.81250000E+00,-5.75000000E+00
-24.20000E-03,+416.74995E-03,-375.00000E-03,+3.50000000E+00,-6.37500000E+00
-24.15000E-03,+510.49995E-03,-2.87500000E+00,-3.06250000E+00,-2.00000000E+00
-24.10000E-03,+604.24995E-03,-3.18750000E+00,-3.06250000E+00,-2.62500000E+00
-24.05000E-03,+322.99995E-03,+2.75000000E+00,+15.37500000E+00,-11.37500000E+00
-24.00000E-03,+322.99995E-03,-1.00000000E+00,+3.81250000E+00,-6.37500000E+00
-23.95000E-03,+479.24995E-03,+562.50000E-03,+3.50000000E+00,-5.75000000E+00
-23.90000E-03,+541.74995E-03,-3.18750000E+00,-2.75000000E+00,-2.00000000E+00
-23.85000E-03,+572.99995E-03,+2.12500000E+00,+15.68750000E+00,-10.75000000E+00
-23.80000E-03,+322.99995E-03,+2.43750000E+00,+15.37500000E+00,-10.75000000E+00
-23.75000E-03,+354.24995E-03,-1.00000000E+00,+3.50000000E+00,-5.75000000E+00
-23.70000E-03,+479.24995E-03,-3.18750000E+00,-3.06250000E+00,-2.62500000E+00
-23.65000E-03,+604.24995E-03,-3.18750000E+00,-3.06250000E+00,-2.62500000E+00
-23.60000E-03,+447.99995E-03,+1.81250000E+00,+16.00000000E+00,-10.75000000E+00
-23.55000E-03,+291.74995E-03,+4.31250000E+00,+15.37500000E+00,-11.37500000E+00
-23.50000E-03,+385.49995E-03,-1.31250000E+00,+3.50000000E+00,-5.75000000E+00
-23.45000E-03,+510.49995E-03,-2.87500000E+00,-3.06250000E+00,-2.00000000E+00
-23.40000E-03,+604.24995E-03,-2.87500000E+00,-3.06250000E+00,-2.62500000E+00
-23.35000E-03,+385.49995E-03,+1.18750000E+00,+16.00000000E+00,-10.12500000E+00
-23.30000E-03,+291.74995E-03,-1.62500000E+00,+3.81250000E+00,-4.50000000E+00
-23.25000E-03,+416.74995E-03,-4.43750000E+00,+2.56250000E+00,-3.25000000E+00
-23.20000E-03,+572.99995E-03,-2.56250000E+00,-2.75000000E+00,-2.62500000E+00
-23.15000E-03,+666.74995E-03,-2.87500000E+00,-2.75000000E+00,-2.00000000E+00
-23.10000E-03,+354.24995E-03,-8.81250000E+00,+16.93750000E+00,-4.50000000E+00
-23.05000E-03,+479.24995E-03,-3.18750000E+00,+2.87500000E+00,-3.25000000E+00
-23.00000E-03,+729.24995E-03,-1.93750000E+00,-2.75000000E+00,-3.25000000E+00
-22.95000E-03,+916.74995E-03,-1.93750000E+00,-2.75000000E+00,-3.25000000E+00
-22.90000E-03,+885.49995E-03,-7.25000000E+00,+18.50000000E+00,-8.87500000E+00
-22.85000E-03,+510.49995E-03,-7.25000000E+00,+19.12500000E+00,-8.25000000E+00
